alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Via Dante Alighieri,Pralboino,<0.05,6,268,71.3,<0.05,6,483,Dicembre 2019,26.4,<0.1,19.1,<5,4,<0.02,8.3,1.1,338,10.7,7
Via Roma,Preseglie,<0.05,<1,171,59.6,0.09,4,357,Dicembre 2019,20.7,<0.1,17.1,<5,4,<0.02,7.8,0.8,250,2.6,29
Piazza Vittoria,ROCCAFRANCA,<0.05,<1,145,57.5,<0.05,5,348,Dicembre 2019,19.3,0.1,9.0,<5,13,<0.02,8.2,1.1,244,4.2,36
Via Donizetti,ROCCAFRANCA,<0.05,<1,134,59.2,<0.05,6,347,Dicembre 2019,19.2,0.1,8.3,<5,15,<0.02,8.2,1.0,243,3.5,39
Via Paolo VI Angolo Via Francesca,ROCCAFRANCA,<0.05,<1,134,59.2,<0.05,6,347,Dicembre 2019,19.2,0.1,8.3,<5,15,<0.02,8.2,1.0,243,3.5,39
SAIANO,RODENGO,<0.05,<1,299,133.4,0.07,25,664,Dicembre 2019,37.6,<0.1,11.8,<5,34,<0.02,6.9,1.7,465,6.6,26
Via Bonfadio,ROE VOLCIANO,<0.05,<1,275,100.6,<0.05,31,673,Dicembre 2019,35.8,<0.1,29.1,<5,19,<0.02,8.0,1.5,471,17.3,48
Via Missane,ROE VOLCIANO,<0.05,<1,208,63.6,0.09,7,430,Dicembre 2019,24.3,<0.1,22.1,<5,7,<0.02,8.2,1.1,301,4.5,33
Via Odorici,ROE VOLCIANO,<0.05,<1,207,63.6,0.09,8,429,Dicembre 2019,24.3,<0.1,21.7,<5,7,<0.02,8.1,1.1,300,4.4,33
Viale Europa,Rodengo Saiano,<0.05,<1,297,134.2,0.06,25,658,Dicembre 2019,37.3,<0.1,12.2,<5,34,<0.02,7.0,1.6,461,6.5,25
