alias_city,alias_address,georeferencingString,type
PAITONE,Via Sarzena,"Via Sarzena, PAITONE, BS, Lombardia",POINT
PAVONE DEL MELLA,Via Don Bosco,"Via Don Bosco, PAVONE DEL MELLA, BS, Lombardia",POINT
PAVONE DEL MELLA,Via Marconi,"Via Marconi, PAVONE DEL MELLA, BS, Lombardia",POINT
PAVONE DEL MELLA,Via Togliatti,"Via Togliatti, PAVONE DEL MELLA, BS, Lombardia",POINT
PERTICA ALTA,Belprato,"Belprato, PERTICA ALTA, BS, Lombardia",POINT
PERTICA ALTA,Lavino,"Lavino, PERTICA ALTA, BS, Lombardia",POINT
PERTICA ALTA,Navono,"Navono, PERTICA ALTA, BS, Lombardia",POINT
PERTICA ALTA,Noffo Alta,"Noffo Alta, PERTICA ALTA, BS, Lombardia",POINT
PERTICA ALTA,Noffo Bassa,"Noffo Bassa, PERTICA ALTA, BS, Lombardia",POINT
PERTICA ALTA,Odeno,"Odeno, PERTICA ALTA, BS, Lombardia",POINT
PERTICA ALTA,Piazza Marconi,"Piazza Marconi, PERTICA ALTA, BS, Lombardia",POINT
POLAVENO,Via Moro,"Via Moro, POLAVENO, BS, Lombardia",POINT
POLAVENO,Via Peli,"Via Peli, POLAVENO, BS, Lombardia",POINT
POLAVENO,Via Tonetti,"Via Tonetti, POLAVENO, BS, Lombardia",POINT
PONTEVICO,Bettegno,"Bettegno, PONTEVICO, BS, Lombardia",POINT
PONTEVICO,Strada Francesca,"Strada Francesca, PONTEVICO, BS, Lombardia",POINT
PONTEVICO,Torchiera,"Torchiera, PONTEVICO, BS, Lombardia",POINT
PONTEVICO,Via Brescia,"Via Brescia, PONTEVICO, BS, Lombardia",POINT
PONTEVICO,Via Campazzo,"Via Campazzo, PONTEVICO, BS, Lombardia",POINT
PRALBOINO,Largo IV Novembre,"Largo IV Novembre, PRALBOINO, BS, Lombardia",POINT
