alias_address,alias_city,geocode,geometry,georeferencingString,type
Via Macesina,BEDIZZOLE,"Macesina, Bedizzole, Brescia, Lombardia, 25081, Italia","{'type': 'Point', 'coordinates': [10.4400476, 45.5186078]}","Via Macesina, BEDIZZOLE, BS, Lombardia",POINT
Via Pieve,BEDIZZOLE,"Via Pieve, Pontenove, Bedizzole, Brescia, Lombardia, 25081, Italia","{'type': 'Point', 'coordinates': [10.400783, 45.4973424]}","Via Pieve, BEDIZZOLE, BS, Lombardia",POINT
Via Navezze,BIONE,"Navezze, Bione, Comunità montana della valle Sabbia, Brescia, Lombardia, 25071, Italia","{'type': 'Point', 'coordinates': [10.3373079, 45.675727]}","Via Navezze, BIONE, BS, Lombardia",POINT
Via IV Novembre,BORGOSATOLLO,"Via Quattro Novembre, Piffione nuova, Piffione, Borgosatollo, Brescia, Lombardia, 25134, Italia","{'type': 'Point', 'coordinates': [10.2374683, 45.4905649]}","Via IV Novembre, BORGOSATOLLO, BS, Lombardia",POINT
Via Roma,BORGOSATOLLO,"Borgosatollo, Brescia, Lombardia, Italia","{'type': 'Point', 'coordinates': [10.2408108, 45.4772616]}","Via Roma, BORGOSATOLLO, BS, Lombardia",POINT
Via San Gallo,BOTTICINO,"Via San Gallo, San Gallo, Botticino, Brescia, Lombardia, 25082, Italia","{'type': 'Point', 'coordinates': [10.3042148, 45.5537847]}","Via San Gallo, BOTTICINO, BS, Lombardia",POINT
Via Vittorio Veneto,BOVEZZO,"Via Vittorio Veneto, Villaggio del Sole, Bovezzo, Comunità montana della valle Trompia, Brescia, Lombardia, 25073, Italia","{'type': 'Point', 'coordinates': [10.2431295, 45.5904901]}","Via Vittorio Veneto, BOVEZZO, BS, Lombardia",POINT
Piazza della Loggia,BRESCIA,"Piazza della Loggia, Centro Storico Nord, Zona Centro, Brescia, Lombardia, Italia","{'type': 'Point', 'coordinates': [10.220059940242962, 45.539817]}","Piazza della Loggia, BRESCIA, BS, Lombardia",POINT
Via Caionvico,BRESCIA,"Via Caionvico, Caionvico, Zona Est, Brescia, Lombardia, 25135, Italia","{'type': 'Point', 'coordinates': [10.288518, 45.5254675]}","Via Caionvico, BRESCIA, BS, Lombardia",POINT
Via Chiesanuova,BRESCIA,"Via Chiesanuova, Chiesanuova, Zona Sud, Brescia, Lombardia, 25126, Italia","{'type': 'Point', 'coordinates': [10.186976, 45.5310363]}","Via Chiesanuova, BRESCIA, BS, Lombardia",POINT
