alias_city,alias_address,georeferencingString,type
Tonezza del Cimone,CONTRA' CAMPANA,"CONTRA' CAMPANA, Tonezza del Cimone, Veneto, Italia",POINT
Tonezza del Cimone,CONTRA' CANALE,"CONTRA' CANALE, Tonezza del Cimone, Veneto, Italia",POINT
Tonezza del Cimone,CONTRA' COSTA,"CONTRA' COSTA, Tonezza del Cimone, Veneto, Italia",POINT
Torrebelvicino,CONTRA' RIOLO,"CONTRA' RIOLO, Torrebelvicino, Veneto, Italia",POINT
Torrebelvicino,CONTRA' VALLE,"CONTRA' VALLE, Torrebelvicino, Veneto, Italia",POINT
Torrebelvicino,CONTRADA COSTALUNGA,"CONTRADA COSTALUNGA, Torrebelvicino, Veneto, Italia",POINT
Torrebelvicino,CONTRADA NASIERON,"CONTRADA NASIERON, Torrebelvicino, Veneto, Italia",POINT
Torri di Quartesolo,MILANO VENEZIA AUTOSTARDA,"MILANO VENEZIA AUTOSTARDA, Torri di Quartesolo, Veneto, Italia",POINT
Torri di Quartesolo,VIA ADAMELLO,"VIA ADAMELLO, Torri di Quartesolo, Veneto, Italia",POINT
Torri di Quartesolo,VIA ADIGE,"VIA ADIGE, Torri di Quartesolo, Veneto, Italia",POINT
Torri di Quartesolo,VIA ALDO MORO,"VIA ALDO MORO, Torri di Quartesolo, Veneto, Italia",POINT
Trissino,CONTRA' LORA,"CONTRA' LORA, Trissino, Veneto, Italia",POINT
Trissino,CONTRA' SIMONI,"CONTRA' SIMONI, Trissino, Veneto, Italia",POINT
Trissino,CONTRADA GIACOMONI,"CONTRADA GIACOMONI, Trissino, Veneto, Italia",POINT
Trissino,CONTRADA MANZINI,"CONTRADA MANZINI, Trissino, Veneto, Italia",POINT
Valdagno,CONTRADA ALBIERI,"CONTRADA ALBIERI, Valdagno, Veneto, Italia",POINT
Valdagno,CONTRADA AMBROSINI,"CONTRADA AMBROSINI, Valdagno, Veneto, Italia",POINT
Valdagno,CONTRADA ASNICAR,"CONTRADA ASNICAR, Valdagno, Veneto, Italia",POINT
