alias_address,alias_address_value,alias_city,alias_province,geocode,geometry,georeferencingString,type
Zone Rimanenti Correggio,226,CORREGGIO,RE,"Correggio, RE","{'type': 'Point', 'coordinates': [10.782750000000021, 44.770440000000065]}","Zone Rimanenti Correggio, CORREGGIO, RE, Emilia Romagna",POINT
Fazzano Oltre I Civ 30 E 63 Di Via Fazzano,374,CORREGGIO,RE,"Fazzano, Correggio, RE","{'type': 'Point', 'coordinates': [10.76941000000005, 44.74491000000006]}","Fazzano Oltre I Civ 30 E 63 Di Via Fazzano, CORREGGIO, RE, Emilia Romagna",POINT
Il Ghetto,375,CORREGGIO,RE,"Correggio, RE","{'type': 'Point', 'coordinates': [10.782750000000021, 44.770440000000065]}","Il Ghetto, CORREGGIO, RE, Emilia Romagna",POINT
Lemizzone,376,CORREGGIO,RE,"Lemizzone, Correggio, RE","{'type': 'Point', 'coordinates': [10.756490000000042, 44.734020000000044]}","Lemizzone, CORREGGIO, RE, Emilia Romagna",POINT
Casino Tirelli,377,CORREGGIO,RE,"Correggio, RE","{'type': 'Point', 'coordinates': [10.782750000000021, 44.770440000000065]}","Casino Tirelli, CORREGGIO, RE, Emilia Romagna",POINT
Fazzano Fino Ai Civ 30 E 63 Di Via Fazzano,378,CORREGGIO,RE,"Fazzano, Correggio, RE","{'type': 'Point', 'coordinates': [10.76941000000005, 44.74491000000006]}","Fazzano Fino Ai Civ 30 E 63 Di Via Fazzano, CORREGGIO, RE, Emilia Romagna",POINT
Prato Zona Industriale,379,CORREGGIO,RE,Zona Industriale Prato,"{'type': 'Point', 'coordinates': [10.72810000000004, 44.71124000000003]}","Prato Zona Industriale, CORREGGIO, RE, Emilia Romagna",POINT
Bernolda,381,CORREGGIO,RE,"Bernolda, Correggio, RE","{'type': 'Point', 'coordinates': [10.814130000000034, 44.78250000000003]}","Bernolda, CORREGGIO, RE, Emilia Romagna",POINT
Budrio,382,CORREGGIO,RE,"Budrio, Correggio, RE","{'type': 'Point', 'coordinates': [10.74237000000005, 44.75183000000004]}","Budrio, CORREGGIO, RE, Emilia Romagna",POINT
Canolo,383,CORREGGIO,RE,"Canolo, Correggio, RE","{'type': 'Point', 'coordinates': [10.748390000000029, 44.79484000000008]}","Canolo, CORREGGIO, RE, Emilia Romagna",POINT
