alias_province,alias_city,alias_address,alias_address_value,georeferencingString,type
RE,REGGIO EMILIA,Castello Di Vialato,119,"Castello Di Vialato, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Castello Motti (Gavassa),120,"Castello Motti (Gavassa), REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Cavazzoli,121,"Cavazzoli, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Cella,122,"Cella, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,CÒ Di Sotto (Massenzatico),123,"CÒ Di Santto (Massenzatico), REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Codemondo,124,"Codemondo, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Corticella,125,"Corticella, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Coviolo,126,"Coviolo, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Due MaestÀ,127,"Due MaestÀ, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Fogliano,128,"Fogliano, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Foscato,129,"Foscato, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Gaida,130,"Gaida, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Gavassa,132,"Gavassa, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Gavasseto,133,"Gavasseto, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Chionso,136,"Chionso, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,La Villa,137,"La Villa, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Le Rotte (Confine Bagnolo),138,"Le Rotte (Confine Bagnolo), REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Mancasale E Zona Industriale A Sud Di Via Lama,139,"Mancasale E Zona Industriale A Sand Di Via Lama, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Mancasale Zona Industriale A Nord Di Via Lama,140,"Mancasale Zona Industriale A Nord Di Via Lama, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Marmirolo,141,"Marmirolo, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Masone,142,"Masone, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Massenzatico,143,"Massenzatico, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Modolena,144,"Modolena, REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Orologio (RE),145,"Orologio (RE), REGGIO EMILIA, RE, Emilia Romagna",POINT
RE,REGGIO EMILIA,Penizzo (Pratofontana),147,"Penizzo (Pratofontana), REGGIO EMILIA, RE, Emilia Romagna",POINT
