alias_address,alias_city,geocode,geometry,georeferencingString,type
REA,REA,"Rea, PV","{'type': 'Point', 'coordinates': [9.156170000000031, 45.11763000000008]}","REA, PV",POINT
C-Redavalle,REDAVALLE,"Redavalle, PV","{'type': 'Point', 'coordinates': [9.204360000000065, 45.03916000000004]}","C-Redavalle, PV",POINT
RETORBIDO,RETORBIDO,"Retorbido, PV","{'type': 'Point', 'coordinates': [9.03848000000005, 44.94899000000004]}","RETORBIDO, PV",POINT
RIVANAZZANO TERME,RIVANAZZANO TERME,"Rivanazzano Terme, PV","{'type': 'Point', 'coordinates': [9.017000000000053, 44.92984000000007]}","RIVANAZZANO TERME, PV",POINT
ROBBIO,ROBBIO,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
Routine + THM : PO0181239UIM04 - Robbio Via,ROBBIO,"Robbio, PV","{'type': 'Point', 'coordinates': [8.596930000000043, 45.28904000000006]}","Routine + THM : PO0181239UIM04 - Robbio Via, PV",POINT
Routine + THM : Robbio - Municipio,ROBBIO,"Robbio, PV","{'type': 'Point', 'coordinates': [8.596930000000043, 45.28904000000006]}","Routine + THM : Robbio - Municipio, PV",POINT
Routine + THM : Robbio via Dentici - Uscita,ROBBIO,"Via Dentici, 27038, Robbio, Pavia","{'type': 'Point', 'coordinates': [8.591719500000018, 45.28519200000001]}","Routine + THM : Robbio via Dentici - Uscita, PV",POINT
ROBECCO PAVESE,ROBECCO PAVESE,"Robecco Pavese, PV","{'type': 'Point', 'coordinates': [9.149170000000026, 45.04935000000006]}","ROBECCO PAVESE, PV",POINT
ROCCA DE’ GIORGI,ROCCA DE’ GIORGI,"Rocca de' Giorgi, PV","{'type': 'Point', 'coordinates': [9.253540000000044, 44.95169000000004]}","ROCCA DE’ GIORGI, PV",POINT
ROCCA SUSELLA,ROCCA SUSELLA,"Rocca Susella, PV","{'type': 'Point', 'coordinates': [9.095870000000048, 44.91282000000007]}","ROCCA SUSELLA, PV",POINT
