alias_address,alias_city,georeferencingString,geocode,geometry
PIAZZALE VALLE DEL BUT,UDINE,UDINE PIAZZALE VALLE DEL BUT,"Piazzale Valle del But, Villaggio del Sole, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.20588001188189, 46.07833945]}"
PIAZZALE XXVI LUGLIO,UDINE,UDINE PIAZZALE XXVI LUGLIO,"Piazzale 26 luglio 1866, Borgo Poscolle, Quartiere San Domenico, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2282903, 46.0604597]}"
PIAZZALE XXVI LUGLIO 1866,UDINE,UDINE PIAZZALE XXVI LUGLIO 1866,,
PIAZZETTA ANTONINI,UDINE,UDINE PIAZZETTA ANTONINI,"Piazzetta Antonini, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2339228, 46.0667413]}"
PIAZZETTA BELLONI,UDINE,UDINE PIAZZETTA BELLONI,,
PIAZZETTA DEL POZZO,UDINE,UDINE PIAZZETTA DEL POZZO,"Piazzetta del Pozzo, Borgo Aquileia, Baldasseria Media, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2447869, 46.0580129]}"
PIAZZETTA LIONELLO,UDINE,UDINE PIAZZETTA LIONELLO,,
PIAZZETTA VALENTINIS,UDINE,UDINE PIAZZETTA VALENTINIS,"Piazzetta Valentinis, Borgo Aquileia, Casali Osellin, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.2377812, 46.0634463]}"
P.ZZA PATRIARCATO,UDINE,UDINE P.ZZA PATRIARCATO,,
RIVA BARTOLINI,UDINE,UDINE RIVA BARTOLINI,,
SALITA CASTELLO,UDINE,UDINE SALITA CASTELLO,"Castello di Udine, Salita al Castello, Borgo Gemona, Borgonuovo II, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.236070369472175, 46.06440925]}"
SAN SEBASTIANO,UDINE,UDINE SAN SEBASTIANO,"Via San Sebastiano, Borgo Grazzano, Cormôr Alto, Udine, UTI del Friuli Centrale, Friuli Venezia Giulia, 33100, Italia","{'type': 'Point', 'coordinates': [13.228313, 46.050124]}"
