alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Isola Del Cantone,ISOLA DEL CANTONE,0.05,<1,249,71,0.18,7,376,periodo dal 01/07/2019 al 31/12/2019,22,<0.1,10,<1,4,<0.01,7.7,0.5,242,4,14
Lavagna,LAVAGNA,<0.02,<1,205,57,0.10,14,343,periodo dal 01/07/2019 al 31/12/2019,18,<0.1,9,<1,5,<0.01,7.8,1.0,225,11,17
Leivi,LEIVI,<0.02,<1,199,58,0.21,10,329,periodo dal 01/07/2019 al 31/12/2019,17,<0.1,7,<1,3,<0.01,8.0,0.9,210,8,15
Lorsica,LORSICA,<0.02,<1,81,19,0.13,6,156,periodo dal 01/07/2019 al 31/12/2019,7,<0.1,4,<1,2,0.01,7.9,0.5,97,4,11
Lumarzo,LUMARZO,<0.02,<1,149,44,0.11,7,265,periodo dal 01/07/2019 al 31/12/2019,13,<0.1,5,1.17,2,<0.01,7.9,0.5,148,5,13
Masone,MASONE,<0.02,<1,77,19,0.13,6,128,periodo dal 01/07/2019 al 31/12/2019,6,<0.1,3,<1,4,<0.01,7.8,0.4,80,3,5
Mele,MELE,0.04,3.13,81,25,0.10,10,185,periodo dal 01/07/2019 al 31/12/2019,8,<0.1,3,<1,6,<0.01,7.8,0.9,115,6,12
Mezzanego,MEZZANEGO,<0.02,<1,92,22,0.18,6,152,periodo dal 01/07/2019 al 31/12/2019,7,<0.1,3,<1,1,<0.01,7.8,0.5,98,5,7
Mignanego,MIGNANEGO,<0.02,<1,192,65,0.27,14,359,periodo dal 01/07/2019 al 31/12/2019,19,<0.1,6,9.57,4,<0.01,7.8,0.9,234,8,34
Moconesi,MOCONESI,<0.02,<1,137,40,0.13,7,221,periodo dal 01/07/2019 al 31/12/2019,12,<0.1,6,3.88,5,0.01,7.9,0.8,150,6,13
