alias_city,alias_address,data_report,georeferencingString,type
BRUNICO/BRUNECK,Kron  / Kron,12/10/2018,BRUNICO Kron,POINT
BRUNICO/BRUNECK,Latte montagna Alto Adige / Bergmilch Südtirol,19/07/2018,BRUNICO Latte montagna Alto Adige,POINT
BRUNICO/BRUNECK,Luns / Luns,16/07/2018,BRUNICO Luns,POINT
BRUNICO/BRUNECK,Prosl / Prosl,26/03/2018,BRUNICO Prosl,POINT
BRUNICO/BRUNECK,Scuola media Röd / Mittelschule Röd,15/02/2018,BRUNICO Scuola media Röd,POINT
BRUNICO/BRUNECK,Sowi Gym,25/09/2018,BRUNICO Sowi Gym,POINT
CAINES/KUENS,f.p. caserma dei VVFF / öffentl. Brunnen bei der Feuerwehrhalle,10/10/2018,CAINES f.p. caserma dei VVFF,POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,Fontana pubblica Pianizza di Sopra 61 / Öff. Brunnen Oberplanitzing 61,05/09/2018,CALDARO SULLA STRADA DEL VINO  Pianizza di Sopra 61,POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb.  Brunnenweg St. Nikolaus / Öffentlicher Brunnen - Brunnenweg St. Nikolaus,08/02/2018,CALDARO SULLA STRADA DEL VINO font. pubb.  Brunnenweg St. Nikolaus,POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. Brunnenweg Nr. 21 / Öffentlicher Brunnen - Brunnenweg Nr. 21,05/09/2018,CALDARO SULLA STRADA DEL VINO font. pubb. Brunnenweg Nr. 21,POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. Kreuzung Trutsch / Öffent. Brunnen Kreuzung Trutsch,11/07/2018,CALDARO SULLA STRADA DEL VINO font. pubb. Kreuzung Trutsch,POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. Mitterdorf - Mayor v. Morandellplatz / Öffentlicher Brunnen Mitterdorf - Mayor v. Morandellplatz,08/02/2018,CALDARO SULLA STRADA DEL VINO font. pubb. Mitterdorf - Mayor v. Morandellplatz,POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. Oberplanitzing Hauptstraße / Öffentlicher Brunnen Oberplanitzing Hauptstraße,28/02/2018,CALDARO SULLA STRADA DEL VINO font. pubb. Oberplanitzing Hauptstraße,POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,"font. pubb. Pianizza di sopra, Strada Principale n. 17 / Öff. Brunnen Oberplanitzing, Hauptstrasse Nr. 17",08/02/2018,"CALDARO SULLA STRADA DEL VINO font. pubb. Pianizza di sopra, Strada Principale n. 17",POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font. pubb. cimitero / Friedhofsbrunnen,22/10/2018,CALDARO SULLA STRADA DEL VINO font. pubb. cimitero,POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,font.pubb. Rottenburgplatz / Öffentlicher Brunnen Rottenburgplatz,01/09/2018,CALDARO SULLA STRADA DEL VINO font.pubb. Rottenburgplatz,POINT
CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE,Öffentlicher Brunnen Altenburg / Öffentlicher Brunnen Altenburg,01/09/2018,CALDARO SULLA STRADA DEL VINO Öffentlicher Brunnen Altenburg,POINT
CAMPO DI TRENS/FREIENFELD,Fontana pubblica Stilves / Öffen. Brunnen Stilfes,05/03/2018,CAMPO DI TRENS  Stilves,POINT
