alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P. - CENTRO SPORTIVO - Via CREMONESI,Ripalta Guerina,<0.1,5,275,68,1,459, 15/11/2019,24,<5,0.06,16.9,<5,1,<0.05,8.1,1.11,285,10,5
F.P. - RIVAROLO DEL RE - BRUGNOLO,Rivarolo del Re,<0.1,4,309,70,5,505, 15/11/2019,24,47,0.06,17.8,<5,6,<0.05,7.9,1.03,313,20,<1
F.P. - RIVAROLO DEL RE - V. APORTI,Rivarolo del Re,<0.1,7,300,69,5,504, 15/11/2019,24,218,0.06,17.7,<5,6,<0.05,7.9,1.13,312,20,<1
F.P. -fraz. Villanova - VIA MARCONI,Rivarolo del Re,<0.1,5,309,70,5,506, 15/11/2019,24,101,0.06,17.8,<5,6,<0.05,7.9,1.04,313,20,<1
F.P. - P.ZZA V. EMANUELE,Rivolta d'Adda,<0.1,2,226,69,5,481, 15/11/2019,25,5,<0.05,19.2,<5,13,<0.05,7.9,1.48,298,4,31
F.P. - PONTE VECCHIO,Rivolta d'Adda,<0.1,1,195,55,3,394, 15/11/2019,20,6,0.05,15.8,<5,9,<0.05,7.9,1.21,244,4,18
F.P. - MONASTEROLO - CHIESA -V.CAIROLI,Robecco d'Oglio,<0.1,7,280,78,6,476, 15/11/2019,24,7,0.08,12.0,<5,2,<0.05,7.9,1.23,295,13,2
F.P. - VIA MARTIRI DELLA LIBERTA',Robecco d'Oglio,<0.1,7,286,78,6,475, 15/11/2019,24,9,0.07,12.0,<5,2,<0.05,7.9,1.24,294,13,2
F.P. - ALBERA,Romanengo,<0.1,<1,281,85,11,557, 15/11/2019,28,87,0.06,17.2,24,1,<0.05,7.7,1.79,345,11,39
F.P. - XXV APRILE,Romanengo,<0.1,1,291,88,10,556, 15/11/2019,29,19,0.08,17.5,6,1,<0.05,7.5,1.40,345,12,39
F.P. - S. LATINO - TERNI,S.Latino di Castelleone,<0.1,6,275,64,1,447, 15/11/2019,23,<5,0.06,17.4,<5,2,<0.05,8.1,1.03,277,11,2
F.P. - SALVIROLA - V.VITTORIA,Salvirola,<0.1,<1,347,90,2,555, 15/11/2019,30,7,0.05,19.4,<5,<1,<0.05,7.8,1.22,344,5,11
F.P. - P.ZA EUROPA,San Bassano,<0.1,5,294,81,3,504, 15/11/2019,26,13,0.06,14.2,<5,1,<0.05,7.9,1.40,312,8,6
F.P. - FAVERZANI,San Daniele Po,<0.1,5,288,83,68,679, 15/11/2019,27,47,0.05,15.6,<5,5,0.09,7.7,1.12,421,38,<1
F.P. - S.GIOVANNI - VIA MATTEOTTI,San Giovanni in Croce,<0.1,2,312,66,8,515, 15/11/2019,24,27,0.06,17.9,<5,5,<0.05,7.9,0.99,319,25,<1
F.P. - ZONA INDUSTRIALE - V. CASTELLETTI,San Giovanni in Croce,<0.1,2,309,67,8,515, 15/11/2019,24,6,0.06,18.0,<5,5,<0.05,7.9,0.98,319,25,<1
F.P. - CASTELPONZONE - V.FORNACE,San Martino del Lago,<0.1,2,391,113,17,724, 15/11/2019,37,24,0.05,22.8,<5,7,<0.05,8.0,1.06,449,19,25
F.P. - S. MARTINO DEL LAGO - P.ZA ITALIA,San Martino del Lago,<0.1,3,394,115,18,725, 15/11/2019,38,10,0.05,23.1,<5,7,<0.05,7.9,1.05,449,20,25
F.P. - Piazzale ITALIA,Scandolara Ravara,<0.1,2,390,114,17,720, 15/11/2019,38,10,<0.05,23.1,<5,7,<0.05,8.0,1.05,446,20,25
