alias_city,alias_address,georeferencingString,type
Stagno Lombardo,F.P. - BRANCERE - CIMITERO,"BRANCERE - CIMITERO, Stagno Lombardo, Lombardia",POINT
Stagno Lombardo,F.P. - PAGLIARI,"PAGLIARI, Stagno Lombardo, Lombardia",POINT
Ticengo,F.P. - TICENGO - V. EUROPA,"TICENGO - V. EUROPA, Ticengo, Lombardia",POINT
Torlino Vimarcati,F.P. - FRAZ. AZZANO VIA CHIESA - TORLINO VIMERCATI,"FRAZ. AZZANO VIA CHIESA - TORLINO VIMERCATI, Torlino Vimarcati, Lombardia",POINT
Torlino Vimarcati,F.P. - PIAZZA ROMA - TORLINO VIMERCATI,"PIAZZA ROMA - TORLINO VIMERCATI, Torlino Vimarcati, Lombardia",POINT
Tornata,F.P. - ROMA,"ROMA, Tornata, Lombardia",POINT
Tornata,F.P. - ROMPREZZAGNO - VIA SOLFERINO,"ROMPREZZAGNO - VIA SOLFERINO, Tornata, Lombardia",POINT
Torre de' Picenardi,F.P. - S. LORENZO PICENARDI - Via Martini,"S. LORENZO PICENARDI - Via Martini, Torre de' Picenardi, Lombardia",POINT
Torre de' Picenardi,F.P. - TORRE PICENARDI - CAMPO VECCHIO,"TORRE PICENARDI - CAMPO VECCHIO, Torre de' Picenardi, Lombardia",POINT
Torricella del Pizzo,F.P. - GUIDO ROSSA,"GUIDO ROSSA, Torricella del Pizzo, Lombardia",POINT
Trescore Cremasco,F.P. - TRESCORE - VIA MULINO,"TRESCORE - VIA MULINO, Trescore Cremasco, Lombardia",POINT
