alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Acquedotto Verdigliolo (Serbatoio Serracciana),CARRO,<0.05,2.40,31.1,21.3,0.08,8.3,75,29/05/19,7.9,<0.05,6.2,<5,35,<0.05,6.7,0.2,113.3,6.4,4.8
Acquedotto Ziona,CARRO,<0.05,<0.05,163.5,35,0.11,8.2,248,05/06/19,13.7,<0.05,12,<5,0.2,<0.05,7.5,0.4,233.3,7.7,6.3
Acquedotto Ziona (Pianesola),CARRO,<0.05,<0.05,98.9,22.7,0.05,9.5,181,05/06/19,9.4,<0.05,9.1,<5,0.2,<0.05,7.9,0.2,157.7,7,10.1
Acquedotto Ziona Massucasco,CARRO,<0.05,,150.1,32.7,0.17,7.4,233,05/12/19,12.3,<0.05,10,<5,0.2,<0.05,7.3,0.4,211.8,6.9,4.1
Acquedotto Ziona Muettola,CARRO,<0.05,<0.05,107,22,0.58,9.3,187,05/12/19,9.1,<0.05,8.7,<5,0.1,<0.05,7.6,0.3,161.1,7,6.3
Carro Ponte S. Margherita,CARRO,<0.05,<0.05,70.2,18.2,0.07,6.1,122,29/05/19,5,<0.05,1.1,<5,0.6,<0.05,7.3,0.7,108,7.2,3.9
Acquedotto Caprignano,CASTELNUOVO MAGRA,<0.05,<0.05,297.2,99.5,0.33,15.8,459,06/02/19,25.7,<0.05,2.1,<5,1.4,<0.05,7.6,0.6,437.8,9.7,11.5
Acquedotto Castelnuovo capoluogo,CASTELNUOVO MAGRA,<0.05,<0.05,280.1,89.2,<0.01,42.4,586,06/02/19,29.1,<0.05,16.7,<5,4.9,<0.05,7.4,2.1,510.6,24.5,50.7
Acquedotto Molino del Piano,CASTELNUOVO MAGRA,<0.05,<0.05,280.7,88.1,0.19,42.1,590,06/02/19,29.1,<0.05,17.2,<5,6,<0.05,7.5,1.9,510.2,24,50.2
Acquedotto  Pian di Follo,FOLLO,<0.05,0.10,204.4,57.4,0.02,9.6,316,26/03/19,19.1,<0.05,11.5,<5,5,<0.05,7.6,1.5,310.9,8,13.5
Acquedotto Bottagna,FOLLO,<0.05,<0.05,195.3,57.5,0.1,15.8,351,23/01/19,17.6,<0.05,8,<5,11.5,<0.05,7.8,2.6,319.3,12.7,15.9
Acquedotto Pian di Follo,FOLLO,<0.05,<0.05,205.6,55.1,0.05,11,324,20/06/19,18.1,<0.05,10.5,<5,7.5,<0.05,7.7,1.6,313.7,8.9,13.5
Acquedotto Piana Battolla,FOLLO,<0.05,<0.05,203.8,60,0.33,8.4,327,04/12/19,19.1,<0.05,10,<5,2.7,<0.05,7.6,1.3,304.9,8,10.7
Acquedotto Sorbolo,FOLLO,<0.05,<0.05,92.8,23.7,0.07,11.4,181,20/06/19,6.9,<0.05,2.5,<5,0.5,<0.05,7.6,0.9,164.6,12.8,10.2
Acquedotto Tivegna,FOLLO,<0.05,<0.05,187.9,56.2,0.05,10.5,298,26/03/19,18,<0.05,9.6,<5,2.6,<0.05,7.8,1.1,291.6,8.7,15
Acquedotto Tivegna Canale del monte,FOLLO,<0.05,<0.05,119,30.2,<0.01,12.1,218,20/06/19,9.6,<0.05,4.9,<5,0.9,<0.05,7.5,1.1,189.5,11.6,9.7
Acquedotto Anzo,FRAMURA,<0.05,0.34,181.8,51.2,0.14,19.1,293,25/07/19,14.2,<0.05,3.5,<5,0.8,<0.05,7.2,0.5,277.7,12.7,8.1
Acquedotto Castagnola,FRAMURA,<0.05,0.17,150.1,3.9,0.08,9.3,230,25/07/19,12.3,<0.05,27.6,<5,0.6,<0.05,7.8,0.2,204,5.5,6.8
Acquedotto Costa,FRAMURA,<0.05,0.14,120.8,36.3,0.1,11.2,219,08/01/19,10.1,<0.05,2.6,<5,0.4,<0.05,7.8,0.5,187.9,7.9,8.2
