alias_city,alias_address,data_report,georeferencingString,type
VEZZANO LIGURE,Acquedotto Vezzano basso,23/01/19,"Vezzano basso, VEZZANO LIGURE, SP, Liguria",POINT
ZIGNAGO,Acquedotto Pieve,07/01/19,"Pieve, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Sasseta,07/01/19,"Sasseta, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Torpiana zona Cimitero,07/01/19,"Torpiana zona Cimitero, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Torpiana zona Via Canale,07/01/19,"Torpiana zona Via Canale, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Vezzola,07/01/19,"Vezzola, ZIGNAGO, SP, Liguria",POINT
RIOMAGGIORE,Acquedotto Groppo,28/11/19,"Groppo, RIOMAGGIORE, SP, Liguria",POINT
RIOMAGGIORE,Acquedotto Manarola,23/07/19,"Manarola, RIOMAGGIORE, SP, Liguria",POINT
RIOMAGGIORE,Acquedotto Riomaggiore capoluogo,28/11/19,"Riomaggiore capoluogo, RIOMAGGIORE, SP, Liguria",POINT
RIOMAGGIORE,Acquedotto Volastra,28/11/19,"Volastra, RIOMAGGIORE, SP, Liguria",POINT
SANTO STEFANO MAGRA,Acquedotto Ponzano,22/11/19,"Ponzano, SANTO STEFANO MAGRA, SP, Liguria",POINT
SANTO STEFANO MAGRA,Acquedotto S. Stefano capoluogo,18/09/19,"S. Stefano capoluogo, SANTO STEFANO MAGRA, SP, Liguria",POINT
SARZANA,Acquedotto Marinella,31/07/19,"Marinella, SARZANA, SP, Liguria",POINT
SARZANA,Acquedotto Sarzana capoluogo,12/09/19,"Sarzana capoluogo, SARZANA, SP, Liguria",POINT
VERNAZZA,Acquedotto Corniglia,31/07/19,"Corniglia, VERNAZZA, SP, Liguria",POINT
VEZZANO LIGURE,Acquedotto Prati,25/11/19,"Prati, VEZZANO LIGURE, SP, Liguria",POINT
ZIGNAGO,Acquedotto Debbio,11/12/19,"Debbio, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Pieve,02/10/19,"Pieve, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Sasseta,11/12/19,"Sasseta, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Serò,11/12/19,"Serò, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Torpiana Via Canale,11/12/19,"Torpiana Via Canale, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Torpiana zona cimitero,11/12/19,"Torpiana zona cimitero, ZIGNAGO, SP, Liguria",POINT
ZIGNAGO,Acquedotto Vezzola,11/12/19,"Vezzola, ZIGNAGO, SP, Liguria",POINT
BEVERINO,Acquedotto Cavanella Capanne,10/12/19,"Cavanella Capanne, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Cavanella Costa,16/09/19,"Cavanella Costa, BEVERINO, SP, Liguria",POINT
BEVERINO,Acquedotto Cavanella Costa,10/12/19,"Cavanella Costa, BEVERINO, SP, Liguria",POINT
