alias_address,alias_city,data_report,geocode,geometry,georeferencingString,type
Acquedotto Castagnola,FRAMURA,25/07/19,"Castagnola, Framura, SP","{'type': 'Point', 'coordinates': [9.568750000000023, 44.22288000000003]}","Castagnola, FRAMURA, SP, Liguria",POINT
Acquedotto Costa,FRAMURA,08/01/19,"Costa, Framura, SP","{'type': 'Point', 'coordinates': [9.557780000000037, 44.21231000000006]}","Costa, FRAMURA, SP, Liguria",POINT
Acquedotto Laviosa,FRAMURA,25/07/19,"Via Laviosa, 19014, Framura, SP","{'type': 'Point', 'coordinates': [9.561936397079009, 44.20628613831248]}","Laviosa, FRAMURA, SP, Liguria",POINT
Acquedotto Ravecca,FRAMURA,25/07/19,"Località Ravecca, 19014, Framura, SP","{'type': 'Point', 'coordinates': [9.555276469665055, 44.20672861476421]}","Ravecca, FRAMURA, SP, Liguria",POINT
Acquedotto Setta,FRAMURA,25/07/19,"Setta, Framura, SP","{'type': 'Point', 'coordinates': [9.555940000000021, 44.21090000000004]}","Setta, FRAMURA, SP, Liguria",POINT
Acquedotto Tarì,FRAMURA,25/07/19,"Località Tarì, 19014, Framura, SP","{'type': 'Point', 'coordinates': [9.57115440457052, 44.21929930090239]}","Tarì, FRAMURA, SP, Liguria",POINT
Acquedotto La Spezia (P.zza S.Agostino),LA SPEZIA,28/03/19,"Piazza Sant'Agostino, 19121, La Spezia, SP","{'type': 'Point', 'coordinates': [9.821796908827377, 44.10518204617294]}","La Spezia (P.zza S.Agostino), LA SPEZIA, SP, Liguria",POINT
Acquedotto La Spezia capoluogo (Capitaneria),LA SPEZIA,01/10/19,"La Spezia, SP","{'type': 'Point', 'coordinates': [9.820060000000069, 44.10211000000004]}","La Spezia capoluogo (Capitaneria), LA SPEZIA, SP, Liguria",POINT
Acquedotto Pitelli,LA SPEZIA,17/10/19,"Pitelli, La Spezia, SP","{'type': 'Point', 'coordinates': [9.88375000000002, 44.095890000000054]}","Pitelli, LA SPEZIA, SP, Liguria",POINT
Acquedotto Ruffino,LA SPEZIA,07/10/19,"Ruffino, La Spezia, SP","{'type': 'Point', 'coordinates': [9.86910000000006, 44.09227000000004]}","Ruffino, LA SPEZIA, SP, Liguria",POINT
Acquedotto Barcola,LERICI,28/03/19,"Località Barcola, 19032, Lerici, SP","{'type': 'Point', 'coordinates': [9.914722050561828, 44.083134032525166]}","Barcola, LERICI, SP, Liguria",POINT
Acquedotto Lerici capoluogo,LERICI,08/10/19,"Lerici, SP","{'type': 'Point', 'coordinates': [9.90999000000005, 44.07609000000008]}","Lerici capoluogo, LERICI, SP, Liguria",POINT
Acquedotto Senato,LERICI,20/02/19,"Senato, Lerici, SP","{'type': 'Point', 'coordinates': [9.954950000000053, 44.086430000000064]}","Senato, LERICI, SP, Liguria",POINT
Acquedotto  Montale,LEVANTO,11/03/19,"Montale, Levanto, SP","{'type': 'Point', 'coordinates': [9.624770000000069, 44.18647000000004]}","Montale, LEVANTO, SP, Liguria",POINT
Acquedotto  Vignana inferiore,LEVANTO,18/07/19,"Vignana, Levanto, SP","{'type': 'Point', 'coordinates': [9.633390000000077, 44.190960000000075]}","Vignana inferiore, LEVANTO, SP, Liguria",POINT
Acquedotto Casella,LEVANTO,11/03/19,"Casella, Levanto, SP","{'type': 'Point', 'coordinates': [9.62611000000004, 44.19178000000005]}","Casella, LEVANTO, SP, Liguria",POINT
Acquedotto Chiesanuova,LEVANTO,17/07/19,"Località Chiesanuova, 19015, Levanto, SP","{'type': 'Point', 'coordinates': [9.645975588154908, 44.17156283862151]}","Chiesanuova, LEVANTO, SP, Liguria",POINT
Acquedotto Fontona,LEVANTO,17/07/19,"Fontona, Levanto, SP","{'type': 'Point', 'coordinates': [9.636580000000038, 44.16847000000007]}","Fontona, LEVANTO, SP, Liguria",POINT
Acquedotto Gallona,LEVANTO,17/07/19,"Località Gallona, 19015, Levanto, SP","{'type': 'Point', 'coordinates': [9.637830000000017, 44.17948292221122]}","Gallona, LEVANTO, SP, Liguria",POINT
Acquedotto Groppo,LEVANTO,11/03/19,"Groppo, Levanto, SP","{'type': 'Point', 'coordinates': [9.619000000000028, 44.19119000000006]}","Groppo, LEVANTO, SP, Liguria",POINT
Acquedotto Lavaggiorosso,LEVANTO,18/07/19,"Lavaggiorosso, Levanto, SP","{'type': 'Point', 'coordinates': [9.612370000000055, 44.19311000000005]}","Lavaggiorosso, LEVANTO, SP, Liguria",POINT
Acquedotto Legnaro,LEVANTO,17/07/19,"Legnaro, Levanto, SP","{'type': 'Point', 'coordinates': [9.643130000000042, 44.17518000000007]}","Legnaro, LEVANTO, SP, Liguria",POINT
Acquedotto Levanto capoluogo,LEVANTO,11/03/19,"Levanto, SP","{'type': 'Point', 'coordinates': [9.614070000000027, 44.17194000000006]}","Levanto capoluogo, LEVANTO, SP, Liguria",POINT
Acquedotto Lizza,LEVANTO,18/07/19,"Lizza, Levanto, SP","{'type': 'Point', 'coordinates': [9.612120000000061, 44.19001000000003]}","Lizza, LEVANTO, SP, Liguria",POINT
Acquedotto Montale,LEVANTO,18/07/19,"Montale, Levanto, SP","{'type': 'Point', 'coordinates': [9.624770000000069, 44.18647000000004]}","Montale, LEVANTO, SP, Liguria",POINT
Acquedotto Pastine Inferiore,LEVANTO,11/03/19,"Località Pastine Inferiore, 19015, Levanto, SP","{'type': 'Point', 'coordinates': [9.635966405698253, 44.18632850963097]}","Pastine Inferiore, LEVANTO, SP, Liguria",POINT
Acquedotto Ridarolo,LEVANTO,17/07/19,"Ridarolo, Levanto, SP","{'type': 'Point', 'coordinates': [9.626130000000046, 44.17703000000006]}","Ridarolo, LEVANTO, SP, Liguria",POINT
Acquedotto Vignana inferiore,LEVANTO,11/03/19,"Vignana, Levanto, SP","{'type': 'Point', 'coordinates': [9.633390000000077, 44.190960000000075]}","Vignana inferiore, LEVANTO, SP, Liguria",POINT
Acquedotto Vignana superiore,LEVANTO,11/03/19,"Vignana, Levanto, SP","{'type': 'Point', 'coordinates': [9.633390000000077, 44.190960000000075]}","Vignana superiore, LEVANTO, SP, Liguria",POINT
Casella,LEVANTO,18/07/19,"Casella, Levanto, SP","{'type': 'Point', 'coordinates': [9.62611000000004, 44.19178000000005]}","Casella, LEVANTO, SP, Liguria",POINT
Levanto  capoluogo (loc. Chiesa dei frati),LEVANTO,11/03/19,"Levanto, SP","{'type': 'Point', 'coordinates': [9.614070000000027, 44.17194000000006]}","Levanto  capoluogo (loc. Chiesa dei frati), LEVANTO, SP, Liguria",POINT
Acquedotto Marcianella,LUNI (ORTONOVO),04/06/19,"Via Marcianella, 19034, Luni, SP","{'type': 'Point', 'coordinates': [10.044100907187623, 44.09182281437526]}","Marcianella, LUNI (ORTONOVO), SP, Liguria",POINT
