alias_address,alias_city,ammoniaca,cloro_residuo,cloruro,conducibilita,data_report,ferro,fluoruri,nitrato,nitrito,ph,solfato
CapoluogoServizi igienici del Municipio,Acquedotto di Vallemosso,<0.05,<0.05,2.2,61,12/01/2018,20,<0.1,9.9,<0.05,6.8,2.1
CapoluogoFontana del condominio Giardino,Acquedotto di Vallemosso,<0.05,<0.05,1.4,64,12/03/2020,57,<0.1,6.3,<0.05,7.0,1.7
Frazione SimoneCircolo Arci,Acquedotto di Vallemosso,<0.05,0.14,1.7,63,22/04/2020,33,<0.10,8.0,<0.05,6.9,2.2
Capoluogo.Servizi igienici scuole elementari.,Acquedotto di Vallemosso,<0.05,0.15,3.6,86,19/02/2018,<5,<0.1,11,<0.05,6.6,5.0
CapoluogoServizi igienici del Municipio,Acquedotto di Veglio,<0.05,0.20,5.5,47,19/02/2018,30,<0.1,4.3,<0.05,7.1,1.9
Frazione RomaninaEsercizio privato (concessionaria),Acquedotto di Veglio,0.05,0.10,5.8,49,02/12/2016,60,<0.1,3.5,<0.05,7.4,2.2
CapoluogoFontana del Parco giochi,Acquedotto di Veglio,<0.05,0.18,3.6,42,29/03/2016,9.3,<0.1,3.9,<0.05,6.8,1.8
CapoluogoServizi igienici del Municipio,Acquedotto di Verrone,<0.05,0.15,7.1,81,07/04/2020,,<0.1,6.3,<0.05,7.2,5.6
CapoluogoFontana di Via Comotto,Acquedotto di Vigliano,<0.05,0.28,16,240,07/04/2020,39,<0.1,21,<0.05,6.9,27
CapoluogoFontana del Parco giochi,Acquedotto di Vigliano,<0.05,0.23,16,249,07/04/2020,55,<0.1,21,<0.05,6.8,2.8
CapoluogoServizi igienici del Municipio,Acquedotto di Zimone,<0.05,<0.05,13,261,16/01/2020,96,<0.1,35,<0.05,8.1,23
CapoluogoFontana retro municipio,Acquedotto di Zimone,<0.05,0.18,8.1,286,11/07/2019,13,<0.1,23,<0.05,7.9,17
Capoluogo.Fontana lungo strada.,Acquedotto di Zimone,<0.05,0.27,9.8,345,04/05/2020,10,<0.10,25,<0.05,7.9,17
CapoluogoServizi igienici del Municipio,Acquedotto di Zumaglia,<0.05,0.13,8.1,95,22/01/2020,51,<0.1,10,<0.05,7.2,3.9
CapoluogoFontana di Via Gallo Ditzer,Acquedotto di Zumaglia,<0.05,0.237,5.61,144.3,05/12/2012,17.98,0.19,3.17,<0.05,7.05,13.53
CapoluogoServizi igienici dell'ufficio postale.,Acquedotto di Zumaglia,<0.05,<0.05,6.6,124,07/05/2018,58,<0.1,6.8,<0.05,6.8,6.0
