alias_address,alias_city,urlReport
Frazione Prina.Fontana lavatoio.,Acquedotto di Strona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13827
Capoluogofontana Municipio,Acquedotto di Ternengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13568
Fraz. Villafontana pubblica,Acquedotto di Ternengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13855
Fraz Valserafontana pubblica,Acquedotto di Ternengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13858
CapoluogoServizi igienici del Municipio,Acquedotto di Tollegno,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14243
Capoluogo.Fontana Municipio.,Acquedotto di Tollegno,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14314
Capoluogo.Fontana del campo sportivo.,Acquedotto di Tollegno,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13969
CapoluogoFontana di via Martiri della Libertà,Acquedotto di Torrazzo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14260
CapoluogoServizi igienici del Municipio,Acquedotto di Valdengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14289
CapoluogoFontana Cimitero,Acquedotto di Valdengo,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14182
CapoluogoServizi igienici del Municipio,Acquedotto di Vallemosso,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12313
CapoluogoFontana del condominio Giardino,Acquedotto di Vallemosso,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14373
Frazione SimoneCircolo Arci,Acquedotto di Vallemosso,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14481
Capoluogo.Servizi igienici scuole elementari.,Acquedotto di Vallemosso,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12449
CapoluogoServizi igienici del Municipio,Acquedotto di Veglio,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12450
Frazione RomaninaEsercizio privato (concessionaria),Acquedotto di Veglio,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=11338
CapoluogoFontana del Parco giochi,Acquedotto di Veglio,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=11041
CapoluogoServizi igienici del Municipio,Acquedotto di Verrone,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14439
CapoluogoFontana di Via Comotto,Acquedotto di Vigliano,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14445
CapoluogoFontana del Parco giochi,Acquedotto di Vigliano,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14444
CapoluogoServizi igienici del Municipio,Acquedotto di Zimone,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14261
CapoluogoFontana retro municipio,Acquedotto di Zimone,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13837
Capoluogo.Fontana lungo strada.,Acquedotto di Zimone,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14514
CapoluogoServizi igienici del Municipio,Acquedotto di Zumaglia,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14274
CapoluogoFontana di Via Gallo Ditzer,Acquedotto di Zumaglia,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=5324
CapoluogoServizi igienici dell'ufficio postale.,Acquedotto di Zumaglia,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12637
