alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P. Via Caduti,CAZZAGO SAN MARTINO,<0.05,<1,305,98,<0.05,13,556,1° semestre 2019,30.8,<0.20,15,<5,33,<0.05,7.3,1.2,404,5.4,29
F.p. Via Garibaldi,CAZZAGO SAN MARTINO,<0.05,<1,305,98,<0.05,13,556,1° semestre 2019,30.8,<0.20,15,<5,33,<0.05,7.3,1.2,404,5.4,29
F.P. Via Ungaretti (barco),CAZZAGO SAN MARTINO,<0.05,<1,305,98,<0.05,13,556,1° semestre 2019,30.8,<0.20,15,<5,33,<0.05,7.3,1.2,404,5.4,29
F.P. Piazza Mazzini,CEDEGOLO,<0.05,1,48,12,nan,<1,93,1° semestre 2019,4.7,<0.20,3.5,<5,4,<0.05,7.9,0.5,66,<2,9
F.P. Via Cologne,CHIARI,<0.05,<1,259,88,nan,9,509,1° semestre 2019,29.2,<0.20,14.9,<5,32,<0.05,7.3,1.1,360,4.2,38
F.P. Via dalla Chiesa,CHIARI,<0.05,<1,259,88,nan,9,509,1° semestre 2019,29.2,<0.20,14.9,<5,32,<0.05,7.3,1.1,360,4.2,38
F.P. Via F.lli Sirani (Parcheggio ITC),CHIARI,<0.05,<1,259,88,nan,9,509,1° semestre 2019,29.2,<0.20,14.9,<5,32,<0.05,7.3,1.1,360,4.2,38
F.P. Via Milano,CHIARI,<0.05,<1,259,88,nan,9,509,1° semestre 2019,29.2,<0.20,14.9,<5,32,<0.05,7.3,1.1,360,4.2,38
F.P. Via Pontoglio,CHIARI,<0.05,<1,259,88,nan,9,509,1° semestre 2019,29.2,<0.20,14.9,<5,32,<0.05,7.3,1.1,360,4.2,38
F.P. Parco Francesca,COCCAGLIO,<0.05,<1,262,86,<0.05,11,473,1° semestre 2019,26,<0.20,13.8,<5,23,<0.05,7.3,1.1,331,4.7,35
F.P. Piazza Moro,COCCAGLIO,<0.05,<1,262,86,<0.05,11,473,1° semestre 2019,26,<0.20,13.8,<5,23,<0.05,7.3,1.1,331,4.7,35
F.P. Piazza Italia (Cizzago),COMEZZANO-CIZZAGO,<0.05,<1,250,93,0.08,11,494,1° semestre 2019,29.9,<0.20,15.7,<5,33,<0.05,7.3,1.4,360,4.6,40
F.P. Via Covour Borgonato,CORTE FRANCA,<0.05,<1,336,106,0.08,17,593,1° semestre 2019,32.9,<0.20,16,<5,18,<0.05,7.2,1.8,393,10.5,41
F.P. Via A. Moro,CORTE FRANCA,<0.05,<1,336,106,0.08,17,593,1° semestre 2019,32.9,<0.20,16,<5,18,<0.05,7.2,1.8,393,10.5,41
F.P. Via Conicchio Timoline,CORTE FRANCA,<0.05,<1,336,106,0.08,17,593,1° semestre 2019,32.9,<0.20,16,<5,18,<0.05,7.2,1.8,393,10.5,41
F.P. Via Colombo (Bargnano),CORZANO,<0.05,<1,277,93,0.07,12,539,1° semestre 2019,30.6,<0.20,14.5,<5,36,<0.05,7.2,1.3,380,5.6,40
F.P. Chiesa (Boldeniga),DELLO,<0.05,<1,374,125,0.13,21,717,1° semestre 2019,40.7,<0.20,20.4,<5,46,<0.05,7.1,1.8,520,8.8,50
