alias_city,alias_address,georeferencingString,type
MUSCOLINE,P.R. Via Morsone,"Via Morsone, MUSCOLINE, Brescia,  Lombardia, Italia",POINT
MUSCOLINE,P.R. Via Santelle (San Quirico),"Via Santelle (San Quirico), MUSCOLINE, Brescia,  Lombardia, Italia",POINT
NUVOLENTO,P.R. Via Gavardina,"Via Gavardina, NUVOLENTO, Brescia,  Lombardia, Italia",POINT
ORZIVECCHI,F.P. Municipio,"Municipio, ORZIVECCHI, Brescia,  Lombardia, Italia",POINT
PADENGHE SUL GARDA,P.R. Piazza Caduti,"Piazza Caduti, PADENGHE SUL GARDA, Brescia,  Lombardia, Italia",POINT
PADENGHE SUL GARDA,P.R. Via Castello,"Via Castello, PADENGHE SUL GARDA, Brescia,  Lombardia, Italia",POINT
PADENGHE SUL GARDA,P.R. Via del Porto,"Via del Porto, PADENGHE SUL GARDA, Brescia,  Lombardia, Italia",POINT
PADENGHE SUL GARDA,P.R. Via Fermi,"Via Fermi, PADENGHE SUL GARDA, Brescia,  Lombardia, Italia",POINT
PADERNO FRANCIACORTA,Via Kennedy,"Via Kennedy, PADERNO FRANCIACORTA, Brescia,  Lombardia, Italia",POINT
PAISCO LOVENO,F.P. Chiesa Grumello,"Chiesa Grumello, PAISCO LOVENO, Brescia,  Lombardia, Italia",POINT
PAISCO LOVENO,F.P. Municipio,"Municipio, PAISCO LOVENO, Brescia,  Lombardia, Italia",POINT
PAISCO LOVENO,Località case del Longo,"Localitàlità case del Longo, PAISCO LOVENO, Brescia,  Lombardia, Italia",POINT
PALAZZOLO SULL’OGLIO,F.P. Parco Via Pedrali,"Parco Via Pedrali, PALAZZOLO SULL’OGLIO, Brescia,  Lombardia, Italia",POINT
PALAZZOLO SULL’OGLIO,Parcheggio Via Gavazzino,"Parcheggio Via Gavazzino, PALAZZOLO SULL’OGLIO, Brescia,  Lombardia, Italia",POINT
PALAZZOLO SULL’OGLIO,P.zza Indipendenza S.Pancrazio,"P.zza Indipendenza S.Pancrazio, PALAZZOLO SULL’OGLIO, Brescia,  Lombardia, Italia",POINT
PALAZZOLO SULL’OGLIO,Quartiere de Gasperi,"Quartiere de Gasperi, PALAZZOLO SULL’OGLIO, Brescia,  Lombardia, Italia",POINT
PALAZZOLO SULL’OGLIO,F.P. Parco Via Pedrali,"Parco Via Pedrali, PALAZZOLO SULL’OGLIO, Brescia,  Lombardia, Italia",POINT
PALAZZOLO SULL’OGLIO,Via Kupfer,"Via Kupfer, PALAZZOLO SULL’OGLIO, Brescia,  Lombardia, Italia",POINT
PARATICO,F.P. Parco Giochi Scuole,"Parco Giochi Scuole, PARATICO, Brescia,  Lombardia, Italia",POINT
PASSIRANO,F.P. Piazza Europa,"Piazza Europa, PASSIRANO, Brescia,  Lombardia, Italia",POINT
PASSIRANO,F.P. Via Europa,"Via Europa, PASSIRANO, Brescia,  Lombardia, Italia",POINT
