alias_city,alias_address,urlReport,page,data_report
RUDIANO,F.P. Piazza Martiri della Libertà,https://www.acquebresciane.it/public/dam/jcr:0733d890-6eb0-4a6c-923d-a4c7f4f76eaf/Analisi_Acqua_Rudiano_1_sem_2019.pdf,0,1° semestre 2019
Salò,P.R. Piazza Bresciani,https://www.acquebresciane.it/public/dam/jcr:d8e747bb-c2a4-405e-88a1-b7425768edd1/Analisi_Acqua_Salo_1_sem_2019.pdf,0,1° semestre 2019
Salò,P.R. Via Chiesa (Campoverde),https://www.acquebresciane.it/public/dam/jcr:d8e747bb-c2a4-405e-88a1-b7425768edd1/Analisi_Acqua_Salo_1_sem_2019.pdf,1,1° semestre 2019
Salò,P.R. Via Delle Fontane (Villa),https://www.acquebresciane.it/public/dam/jcr:d8e747bb-c2a4-405e-88a1-b7425768edd1/Analisi_Acqua_Salo_1_sem_2019.pdf,2,1° semestre 2019
Salò,P.R. Via Europa Cunettone,https://www.acquebresciane.it/public/dam/jcr:d8e747bb-c2a4-405e-88a1-b7425768edd1/Analisi_Acqua_Salo_1_sem_2019.pdf,3,1° semestre 2019
SAN FELICE DEL BENACO,P.R. P.zza Moniga,https://www.acquebresciane.it/public/dam/jcr:9b725be9-8ce0-4a59-b6ef-61f4c51e0a5a/Analisi_Acqua_SanFelice_1_sem_2019.pdf,0,1° semestre 2019
SAN FELICE DEL BENACO,P.R. Via Benaco,https://www.acquebresciane.it/public/dam/jcr:9b725be9-8ce0-4a59-b6ef-61f4c51e0a5a/Analisi_Acqua_SanFelice_1_sem_2019.pdf,1,1° semestre 2019
SAN FELICE DEL BENACO,P.R. Via Italia,https://www.acquebresciane.it/public/dam/jcr:9b725be9-8ce0-4a59-b6ef-61f4c51e0a5a/Analisi_Acqua_SanFelice_1_sem_2019.pdf,2,1° semestre 2019
SELLERO,F.P. Tioli,https://www.acquebresciane.it/public/dam/jcr:ab47567e-6d89-40bf-97dd-586e13d6d712/Analisi_Acqua_Sellero_1_sem_2019.pdf,0,1° semestre 2019
SELLERO,F.P. Via Caduti della Patria,https://www.acquebresciane.it/public/dam/jcr:ab47567e-6d89-40bf-97dd-586e13d6d712/Analisi_Acqua_Sellero_1_sem_2019.pdf,1,1° semestre 2019
SIRMIONE,F.P. Via Colombare,https://www.acquebresciane.it/public/dam/jcr:b9a15dd5-a619-466f-8481-856e269a3420/Analisi_Acqua_Sirmione_1_sem_2019.pdf,0,1° semestre 2019
SOIANO DEL LAGO,P.R. Piazza Umberto I,https://www.acquebresciane.it/public/dam/jcr:f3f30f9a-5186-4726-8640-9d36f5bf605c/Analisi_Acqua_Soiano_1_sem_2019.pdf,0,1° semestre 2019
SOIANO DEL LAGO,P.R. Via Brescia,https://www.acquebresciane.it/public/dam/jcr:f3f30f9a-5186-4726-8640-9d36f5bf605c/Analisi_Acqua_Soiano_1_sem_2019.pdf,1,1° semestre 2019
SONICO,F.P. P.zza S. Antonio,https://www.acquebresciane.it/public/dam/jcr:97f5d323-0f39-4bd1-84e5-a7bd772f6182/Analisi_Acqua_Sonico_1_sem_2019.pdf,0,1° semestre 2019
SONICO,F.P. P.zza S. Lorenzo,https://www.acquebresciane.it/public/dam/jcr:97f5d323-0f39-4bd1-84e5-a7bd772f6182/Analisi_Acqua_Sonico_1_sem_2019.pdf,1,1° semestre 2019
SONICO,F.P. Via Don Picelli,https://www.acquebresciane.it/public/dam/jcr:97f5d323-0f39-4bd1-84e5-a7bd772f6182/Analisi_Acqua_Sonico_1_sem_2019.pdf,2,1° semestre 2019
SONICO,F.P. Via Valeriana,https://www.acquebresciane.it/public/dam/jcr:97f5d323-0f39-4bd1-84e5-a7bd772f6182/Analisi_Acqua_Sonico_1_sem_2019.pdf,3,1° semestre 2019
SULZANO,F.P. Via Pericoli,https://www.acquebresciane.it/public/dam/jcr:ca451173-c325-424d-b0d0-f87b49fc2391/Analisi_Acqua_Sulzano_1_sem_2019.pdf,0,1° semestre 2019
SULZANO,F.P. Loc. Predabbio,https://www.acquebresciane.it/public/dam/jcr:ca451173-c325-424d-b0d0-f87b49fc2391/Analisi_Acqua_Sulzano_1_sem_2019.pdf,1,1° semestre 2019
SULZANO,F.P. Via A. Diaz,https://www.acquebresciane.it/public/dam/jcr:ca451173-c325-424d-b0d0-f87b49fc2391/Analisi_Acqua_Sulzano_1_sem_2019.pdf,2,1° semestre 2019
